finished	medkorrekt	hpo_id	hpo_label	definition	MANUAL PREFERED LABEL	MANUAL PREFERRED DEFINITION	OFFICIAL COMMENT	chemical_phenotype	correct_pattern	KM review	defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	biological_process	biological_process_label	chemical_entity	chemical_entity_label	role	role_label	add_definitions	add_synonym	curator_comment	time
to do	ignore	HP:0032655	Decreased adipose tissue tocopherol level	A reduced concentration of tocopherol in fat tissue.	Decreased fat tissue tocopherol concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	Ok	HP:0032655	Decreased fat tissue tocopherol concentration			UBERON:0001013										
done	ignore	HP:0034900	Decreased amniotic fluid alpha-fetoprotein concentration	Concentration of alpha-fetoprotein in the amniotic fluid below lower limit of normal.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0034900				UBERON:0000173			PR:000003809	alphafetoprotein						
to do	ignore	HP:0030685	Decreased adiponectin level	A reduced circulating concentration of adiponectin, a 30-kDa complement C1-related protein that is the most abundant secreted protein expressed in adipose tissue.	Decreased circulating adiponectin concentration			Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0030685	Decreased circulating adiponectin concentration			UBERON:0000178			http://purl.obolibrary.org/obo/PR_Q15848	adiponectin (human)				Decreased circulating adiponectin level		
to do	ignore	HP:0000816	Abnormality of Krebs cycle metabolism	An abnormality of the tricarboxylic acid cycle.	Decreased krebs cycle enzyme activity			Yes	process	OK	HP:0000816	Decreased krebs cycle enzyme activity			UBERON:0000178	http://purl.obolibrary.org/obo/GO_0072350	tricarboxylic acid metabolic process								
to do	ignore	HP:0000825	Hyperinsulinemic hypoglycemia	An increased concentration of insulin combined with a decreased concentration of glucose in the blood.				Yes	modifier	OK	HP:0000825				UBERON:0000178										
to do	ignore	HP:0000837	Increased circulating gonadotropin level	Overproduction of gonadotropins (FSH, LH) by the anterior pituitary gland.	Increased circulating gonadotropin level			Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0000837	Increased circulating gonadotropin level			UBERON:0000178										
done	ignore	HP:0000842	Hyperinsulinemia	An increased concentration of insulin in the blood.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0000842				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_145810	insulin gene translation product						
to do	ignore	HP:0000845	Elevated circulating growth hormone concentration	Acromegaly is a condition resulting from overproduction of growth hormone by the pituitary gland in persons with closed epiphyses, and consists chiefly in the enlargement of the distal parts of the body. The circumference of the skull increases, the nose becomes broad, the tongue becomes enlarged, the facial features become coarsened, the mandible grows excessively, and the teeth become separated. The fingers and toes grow chiefly in thickness.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	Ok	HP:0000845				UBERON:0000178	http://purl.obolibrary.org/obo/GO_0030252	growth hormone secretion								
to do	ignore	HP:0001579	Primary hypercortisolism	Hypercortisolemia associated with a primary defect of the adrenal gland leading to overproduction of cortisol.				Yes	combination_phenotype	OK	HP:0001579				UBERON:0000178										
done	ignore	HP:0001900	Increased hemoglobin					Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0001900				UBERON:0000178			http://purl.obolibrary.org/obo/CHEBI_35143	hemoglobin					DUPLICATE	
